datetime stamp,incident title,incident description,severity,project,type,employer
1/1/23 8:15,Fall from Height,Worker fell from a scaffold,High,599 W Lincoln,Accident,ABC Construction Ltd.
1/5/23 14:30,Electrical Shock,Employee received an electric shock,Medium,Wix Warehouse,Electrical,XYZ Manufacturing Inc.
1/10/23 10:45,Slip and Fall,Slipped on a wet surface,Low,9119 Woodcreek Ct,Slip and Fall,123 Painting Solutions
1/15/23 12:20,Machinery Accident,Operator caught hand in machinery,High,P11 TechNexis,Machinery,Global Machinery Corp.
1/20/23 9:30,Chemical Exposure,Inhalation of toxic fumes,Medium,NewEra AgFarm Skokie,Chemical Exposure,ChemSafe Industries
1/25/23 11:55,Fire Incident,Equipment caught fire in the Sunlife Senior Living,High,Sunlife Senior Living,Fire,Quick Fix Repairs
1/30/23 15:10,Vehicle Collision,Forklift collision in the Wix Warehouse,Medium,Wix Warehouse,Vehicle Collision,Logistics Solutions LLC
2/3/23 8:45,Struck by Object,Worker struck by a falling object,High,599 W Lincoln,Struck by Object,ABC Construction Ltd.
2/8/23 13:05,Exposure to Noise,Long-term exposure to loud machinery noise,Low,Wix Warehouse,Noise Exposure,XYZ Manufacturing Inc.
2/13/23 10:20,Chemical Spill,Spill of hazardous chemicals,High,NewEra AgFarm Skokie,Chemical Spill,ChemSafe Industries
2/18/23 12:35,Heat Stress,Employee suffered from heat stress,Medium,Vista Self Storage,Heat Stress,Sunny Builders Inc.
2/23/23 9:40,Confined Space Accident,Worker trapped in a confined space,High,599 W Lincoln,Confined Space,ABC Construction Ltd.
2/28/23 14:00,Equipment Malfunction,Malfunction of heavy machinery,High,P11 TechNexis,Machinery,Global Machinery Corp.
3/5/23 11:25,Fall Protection Failure,Fall protection equipment failure,High,599 W Lincoln,Accident,ABC Construction Ltd.
3/10/23 10:50,Hand Tool Injury,Employee injured using a hand tool,Medium,Sunlife Senior Living,Tool Injury,Quick Fix Repairs
3/15/23 12:15,Chemical Inhalation,Inhalation of toxic gases,Medium,NewEra AgFarm Skokie,Chemical Exposure,ChemSafe Industries
3/20/23 9:30,Electrical Fire,Fire caused by an electrical fault,High,Wix Warehouse,Fire,XYZ Manufacturing Inc.
3/25/23 11:55,Vehicle Accident,Company vehicle collision,Medium,9119 Woodcreek Ct,Vehicle Collision,123 Painting Solutions
3/30/23 15:20,Slippery Floor,Slip and fall due to a slippery floor,Low,Lucky B's Denver,Slip and Fall,Fine Dining Catering
4/3/23 8:35,Exposure to Dust,Prolonged exposure to airborne dust,Low,599 W Lincoln,Dust Exposure,ABC Construction Ltd.
4/8/23 13:10,Machinery Injury,Employee caught in machinery,High,P11 TechNexis,Machinery,Global Machinery Corp.
4/13/23 10:25,Chemical Burn,Chemical burn during handling,Medium,NewEra AgFarm Skokie,Chemical Exposure,ChemSafe Industries
4/18/23 12:40,Fall from Ladder,Worker fell from a ladder,Medium,599 W Lincoln,Accident,ABC Construction Ltd.
4/23/23 9:55,Vehicle Rollover,Forklift rollover in the Wix Warehouse,High,Wix Warehouse,Vehicle Rollover,Logistics Solutions LLC
4/28/23 14:15,Tool Malfunction,Power tool malfunction,Medium,Sunlife Senior Living,Tool Malfunction,Quick Fix Repairs
5/3/23 11:30,Heat Exhaustion,Employee suffered from heat exhaustion,Low,Vista Self Storage,Heat Stress,Sunny Builders Inc.
5/8/23 13:55,Confined Space Entry,Injury during confined space entry,Medium,599 W Lincoln,Confined Space,ABC Construction Ltd.
5/13/23 10:10,Equipment Collapse,Collapse of scaffolding equipment,High,599 W Lincoln,Accident,ABC Construction Ltd.
5/18/23 12:25,Chemical Leakage,Leakage of corrosive chemicals,High,NewEra AgFarm Skokie,Chemical Spill,ChemSafe Industries
5/23/23 9:40,Fire Drill Incident,Mismanagement during a fire drill,Low,9119 Woodcreek Ct,Fire Drill,123 Painting Solutions
